timestamp,state,action,reward,player1_life,player2_life,player1_position,player2_position
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['RIGHT', 'UP']",0,10,10,"200,150","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['DOWN', 'LEFT', 'EAT']",0,10,10,"205,145","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['RIGHT', 'DOWN']",0,10,10,"200,150","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['DOWN', 'UP']",0,10,10,"205,155","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['LEFT', 'ATTACK', 'UP']",0,10,10,"205,155","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['UP', 'EAT', 'RIGHT']",0,10,10,"200,150","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['RIGHT', 'LEFT', 'EAT']",0,10,10,"205,145","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]",['LEFT'],0,10,10,"205,145","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['RIGHT', 'DOWN', 'LEFT']",0,10,10,"200,145","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['ATTACK', 'LEFT']",0,10,10,"200,150","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['ATTACK', 'DOWN', 'UP']",0,10,10,"195,150","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['RIGHT', 'UP', 'DOWN']",0,10,10,"195,150","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['UP', 'ATTACK']",0,10,10,"200,150","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['UP', 'EAT', 'RIGHT']",0,10,10,"200,145","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['DOWN', 'RIGHT', 'ATTACK']",0,10,10,"205,140","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['ATTACK', 'RIGHT', 'DOWN']",0,10,10,"210,145","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['LEFT', 'EAT', 'DOWN']",0,10,10,"215,150","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]",['ATTACK'],0,10,10,"210,155","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['ATTACK', 'LEFT', 'UP']",0,10,10,"210,155","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['EAT', 'DOWN', 'RIGHT']",0,10,10,"205,150","600,150"
2025-01-13 22:39:56,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]","['RIGHT', 'DOWN']",0,10,10,"210,155","600,150"
2025-01-13 22:39:57,"[[0, 0, 0, 0], [0, 1, 1, 0], [0, 1, 1, 0], [0, 0, 0, 0]]",['UP'],0,10,10,"215,160","600,150"
